time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,,40.1850009210365,33.3282423403837,0,Available with any HD 360 subscription,Available with any HD 360 subscription,3451.5790468022,0.328084,0,0,11,4,0,3451.5790468022,0,0,0,0,0,0,255, -0.9, 0.4,0,0,1024,1024,1024,1024,255,0,76,4.044,4.044,4.042,4.044,0,0,0,73.31,3451.5790468022,0,41,Motors_Started,
100,,40.1850008239985,33.3282423213912,0,,,3451.5790468022,0.328084,0,0.035797901408,11,4,0,3451.5790468022,0,0,0.035797901408,0,0,0,255, -0.9, 0.4,0,0,1024,1024,1024,1024,255,0,76,4.044,4.044,4.042,4.044,0,0,0,73.31,3451.5790468022,0,41,Motors_Started,
200,,40.1850006342944,33.328242143149,0,,,3451.5790468022,0.328084,0,0.118182746564,11,4,0,3451.5790468022,0,0,0.118182746564,0,0,0,254.9, -0.9, 0.4,0,0,1024,1024,1024,1024,254.9,0,76,4.044,4.044,4.042,4.044,0,0,0,73.31,3451.5790468022,0,41,Motors_Started,
300,,40.1850005286432,33.3282420807875,0,,,3451.5790468022,0.328084,0,0.160411094372,11,4,0,3451.5790468022,0,0,0.160411094372,0,0,0,254.9, -0.9, 0.3,0,0,1024,1024,1024,1024,254.9,0,76,4.044,4.044,4.042,4.044,0,0,0,73.31,3451.5790468022,0,41,Motors_Started,
400,,40.1850004164155,33.3282420070941,0,,,3451.5790468022,0.328084,0,0.20622047904,11,4,0,3451.5790468022,0,0,0.20622047904,0,0,0,255, -0.9, 0.3,0,0,1024,1024,1024,1024,255,0,76,4.044,4.044,4.042,4.044,0,0,0,73.31,3451.5790468022,0,41,Motors_Started,
500,2021-03-21 09:47:10,40.1850002895418,33.328241936204,0,,,3451.5790468022,0.328084,0,0.256468512144,11,4,0,3451.5790468022,0,0,0.256468512144,0,0,0,254.9, -0.9, 0.3,0,0,1024,1024,1024,1024,255,0,76,4.044,4.044,4.042,4.044,0,0,0,73.31,3451.5790468022,0,41,Motors_Started,
600,2021-03-21 09:47:10,40.1849999954837,33.3282417088589,0,,,3451.5790468022,0.328084,0,0.38081366048,11,4,0,3451.5790468022,0,0,0.38081366048,0,0,0,255, -0.9, 0.3,0,0,1024,1024,1024,1024,255,0,76,4.044,4.044,4.042,4.044,0,0,0,73.31,3451.5790468022,0,41,Motors_Started,
700,2021-03-21 09:47:10,40.1849998534754,33.3282416447472,0,,,3451.5790468022,0.328084,0,0.43509187744,11,4,16.113,3451.5790468022,0,0,0.43509187744,0,0,0,255.1, -0.9, 0.3,0,0,1024,1024,1024,1024,255,0,76,4.044,4.044,4.042,4.044,0,0,1.436,73.31,3451.5790468022,0,41,Motors_Started,Setting new Return-To-Home altitude to 300m (984 ft). Data Recorder File Index is 155. Setting new Maximum Flight Altitude to 500m (1640 ft)
800,2021-03-21 09:47:10,40.1849997292838,33.3282415820259,0,,,3451.5790468022,0.328084,0,0.48346786324,11,4,16.113,3451.5790468022,0,0,0.48346786324,0,0,0,255, -0.9, 0.4,0,0,1024,1024,1024,1024,254.9,0,76,4.044,4.044,4.042,4.044,0,0,1.436,73.31,3451.5790468022,0,41,Motors_Started,
900,2021-03-21 09:47:10,40.1849996196586,33.3282415251116,0,,,3451.5790468022,0.328084,0,0.52638453128,11,4,16.113,3451.5790468022,0,0,0.52638453128,0,0,0,255.1, -0.9, 0.3,0,0,1024,1024,1024,1024,255,0,76,4.044,4.044,4.042,4.044,0,0,1.436,73.31,3451.5790468022,0,41,Motors_Started,
