RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,ID_sorted
2021.12.14 11:13:13:549,0,67.77693176,-180.8201094,-0.674721062,-67.76528983,0.970032089,-0.798129755,-0.859636983,-0.602939499,-1.832454205,0.011248071,0.988751948,0,0.00844766,-20.7326355,0
2021.12.14 11:13:14:049,0.5,68.19882783,-180.7155559,-4.355487592,-67.98432023,0.849609867,-5.182105363,-0.6587096,1.29543374,-7.881061221,0.006946405,0.993053557,0,0.010718741,-19.70418297,0
2021.12.14 11:13:14:549,1,68.54043325,-181.2849572,-5.873634391,-68.16310007,1.528928292,-7.014285631,-0.562928817,1.311847272,-5.286176099,0.004899729,0.99510023,0,0.009027207,-20.44656446,0
2021.12.14 11:13:15:049,1.5,69.09430633,-181.5187951,-6.441243649,-68.63377821,1.819783777,-7.751401119,-0.709919586,1.00646837,-3.694630771,0.002758174,0.99724181,0,0.011462709,-19.40712738,0
2021.12.14 11:13:15:549,2,69.65380317,-181.583077,-7.69221612,-68.99947145,1.907270739,-9.322929376,-0.759717255,0.714233075,-3.442970488,0.002127372,0.997872643,0,0.010510139,-19.80316847,0
2021.12.14 11:13:16:049,2.5,70.35851167,-181.6110625,-6.92209074,-69.81721568,1.963656931,-8.479703014,-1.043418837,0.433196979,-1.989015642,0.001628984,0.998370991,0,0.011551424,-19.37488326,0
2021.12.14 11:13:16:549,3,71.01422341,-181.0878306,-8.766099722,-70.17156577,1.33237508,-10.82251339,-0.964440276,-0.35467902,-2.679685727,0.001187456,0.998812574,0,0.009579069,-20.18715841,0
2021.12.14 11:13:17:049,3.5,71.42937006,-181.1697449,-8.263614325,-70.6729682,1.443005974,-10.26637881,-0.944878322,-0.027013107,-1.369693501,0.000664072,0.999335945,0,0.010318921,-19.863657,0
2021.12.14 11:13:17:549,4,72.13824227,-182.0525763,-5.258834648,-71.78842806,2.572882067,-6.611836021,-1.348692135,1.157680627,1.406526769,0.000242877,0.999757123,0,0.011454281,-19.41038531,0
2021.12.14 11:13:18:049,4.5,72.60289289,-182.4708019,-3.857106992,-72.37084096,3.122937913,-4.883642756,-1.26936401,1.156910689,2.07431948,0.000151959,0.999848004,0,0.011750484,-19.29944229,0
2021.12.14 11:13:18:549,5,72.87205272,-183.1744434,-4.494449739,-72.53644298,4.022885656,-5.71048423,-0.855845652,1.385599523,0.881910791,0.000101919,0.999898084,0,0.011962042,-19.22194672,0
