,id,azimuth,elevation,range,heading,angularVel,radialVel,rcs,rcs_dsbm,TrackTime,SystemTime,pos_x,pos_y,pos_z,vel,velXY,vel_x,vel_y,vel_z,acc,accXY,acc_x,acc_y,acc_z,disp,dispXY,MaxVelocity,probUAV,label
13,2,-125.606079101563,33.1030120849609,211.887802124023,-117.3365264380756,0,6.717268953235223,0.0848165356797948,-18.9028511047363,74.714,2021.06.18 14:46:16:428,-103.339982116415,-144.311408405665,115.721675537047,7.532979437219488,7.47179254677202,-3.43116639179364,-6.63737757354693,0.958172917366028,0,0,0,0,0,0,0,7.532979437219488,0.0219139214605093,1.0
14,2,-126.16007978266,33.1966845772483,215.281510370428,-151.3230960676158,-67.97313925908043,6.763312411602896,0.0848165356797948,-10.7151947021484,75.214,2021.06.18 14:46:16:928,-106.294710440561,-145.445064947778,117.869600140868,7.721553810219216,7.4423529485384865,-6.52947149248584,-3.57136100659598,2.05761411190033,0.377148745999456,-0.05887919646706763,-6.1966102013843996,6.132033133901899,2.198882389068604,3.8248106788030536,3.1647427423072307,7.721553810219216,0.233174481310624,1.0
15,2,-125.394077301025,33.0731493631998,219.438547770182,-118.85899669482052,64.92819874559058,7.53542706283065,0.0192712165955832,-16.5655581156412,75.714,2021.06.18 14:46:17:428,-106.504970395193,-149.900099015874,119.748909654036,7.763364809656288,7.275182541698244,-3.51140861164924,-6.37167878796997,2.709529876709,0.08362199887414334,-0.33434081368048574,6.036125761673199,-5.60063556274798,1.30383152961734,4.83976673432733,4.459993026498775,7.763364809656288,0.355256686607988,1.0
16,2,-125.158837804255,32.4020067610831,223.638676193525,-114.44553043996851,8.826932509704022,7.898698240076444,0.0225227080319804,-16.4207162677118,76.214,2021.06.18 14:46:17:928,-108.731169953023,-154.371622154065,119.838171322568,8.50418970381567,8.286631650838713,-3.42924003400324,-7.54377736322271,1.91127664188169,1.4816497883187658,2.022898218280938,0.16433715529200033,-2.3441971505054795,-1.5965064696546198,4.995843401481788,4.99504591036559,8.50418970381567,0.770102968755757,1.0
17,2,-125.888919270367,30.662744557092,228.02568838137,-127.03656888248007,-25.182076885023122,8.301280579224048,0.0206792045329428,-16.5315315876532,76.714,2021.06.18 14:46:18:428,-114.982930507066,-158.906981295502,116.288261981714,10.303998590660285,10.253956437179193,-6.17621049224663,-8.18523344633684,-1.01428020820705,3.5996177736892285,3.9346495726809607,-5.493940916486781,-1.2829121662282592,-5.85111370017748,8.50034404569525,7.723599715605685,10.303998590660285,0.86758676089278,1.0
18,2,-126.18161755856,29.0968470707118,232.399995322539,-129.07348256064134,-4.073827356322539,8.599163246846826,0.017587401698614,-16.7959361210047,77.214,2021.06.18 14:46:18:928,-119.882420095089,-163.908591861079,113.012395555125,11.595605447665406,11.300966109366025,-7.12318622647177,-8.77337181407709,-2.59735070656394,2.583213714010242,2.094019344373663,-1.893951468450279,-1.1762767354804993,-3.16614099671378,7.729968131738345,7.001507442889523,11.595605447665406,0.901396435554897,1.0
19,2,-126.337436571033,28.0853794167895,236.728009425172,-129.74979890773272,-1.3526326941827733,8.738911801394897,0.017587401698614,-17.5479831695557,77.714,2021.06.18 14:46:19:428,-123.753454983076,-168.239348472695,111.4483163804,11.704393767363342,11.381776215965202,-7.27792091143187,-8.75081122166704,-2.72910308181694,0.21757663939587246,0.16162021319835418,-0.30946936992020113,0.04512118482009697,-0.26350475050600064,6.015538845180595,5.8086456195113385,11.704393767363342,0.901837766170502,1.0
20,2,-126.674439296544,27.3176659735564,241.130090731327,-131.69308970802695,-3.8865816005884426,8.819269326547435,0.0178972393665624,-17.5637993857125,78.214,2021.06.18 14:46:19:928,-127.956049093457,-171.826729461248,110.660837228727,11.504909403895331,11.239206384605827,-7.47564910378673,-8.39252230457668,-2.45828807019739,-0.3989687269360225,-0.28513966271874835,-0.39545638470971944,0.7165778341807219,0.5416300232391,5.581328070267868,5.525495417936787,11.704393767363342,0.976145136022122,1.0
21,2,-125.918437743855,27.4200701134227,245.44545211079,-125.67508698315493,12.036005449744039,8.75029737872911,0.0174409592407475,-17.5462587837861,78.714,2021.06.18 14:46:20:428,-127.810086915735,-176.443320892574,113.029960315765,10.549625796549341,10.481021563696524,-6.11240653590431,-8.51412352262438,-1.2011625321112,-1.91056721469198,-1.5163696418186063,2.7264851357648396,-0.2432024360954017,2.51425107617238,5.19104667698669,4.618898288674273,11.704393767363342,0.991234319232335,1.0
22,2,-125.782623866819,27.0650234762228,249.800336729805,-124.8742015924573,1.6017707813952597,8.708819291190357,0.0173474063737661,-17.5107895653202,79.214,2021.06.18 14:46:20:928,-130.066094770591,-180.456471352602,113.659482689111,10.230576367300324,10.197987019425693,-5.8309696106473,-8.36652452623445,-0.81593722723565,-0.6380988584980329,-0.5660690885416635,0.5628738505140198,0.2951979927798618,0.7704506097511001,4.646638190621047,4.6037971345395805,11.704393767363342,0.997196341460606,1.0
