RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled
2022.06.30 11:15:36:671,97.671,330.166249168529,153.877094432617,27.1907213280102,-263.680800074714,129.306629307284,150.870750575326,2.014111,-7.795597,4.729773,0,0,0,0,0,811,0.1,-10
2022.06.30 11:15:37:235,98.235,335.237514562109,153.741574701354,26.8842877488878,-268.150495136087,132.286214432985,151.5910967011,2.010927,-7.788218,4.729898,0,0,0,254,254,811,0.1,-10
2022.06.30 11:15:37:784,98.784,339.888283133622,153.605970114655,26.5818991140939,-272.275176344352,135.123211571346,152.092047960497,2.010103,-7.783875,4.726254,0,0,0,254,254,811,0.1,-10
2022.06.30 11:15:38:334,99.334,344.855710769689,153.446138423896,26.2730538848587,-276.610982613943,138.237971840881,152.650216800161,2.009141,-7.778708,4.724214,0.000169,-0.000359,-0.000557,254,254,811,0.1,-10
2022.06.30 11:15:38:914,99.914,349.180448401579,152.741132781411,25.1336248535258,-281.013638851671,144.786565320024,148.307689713314,0.125377,-9.081141,4.93511,0,0,0,254,254,811,0.158489319246111,-8
2022.06.30 11:15:39:460,100.46,354.052271156923,152.479626063014,24.7115194806103,-285.236140078187,148.613473711117,148.011454070918,0.135698,-9.06865,4.928933,0,0,0,254,254,811,0.158489319246111,-8
2022.06.30 11:15:40:009,101.009,358.901826512252,152.254875478301,24.3502790302679,-289.381405035158,152.219483186196,147.980243384838,0.135294,-9.064953,4.926703,0,0,0,254,254,811,0.158489319246111,-8
2022.06.30 11:15:40:588,101.588,365.982405363133,152.672064213299,24.1639342836329,-296.647279691655,153.294292222712,149.814460112713,1.705478,-9.056131,4.173333,0,0,0,254,254,811,0.316227766016838,-5
2022.06.30 11:15:41:136,102.136,371.074875268052,152.605584000437,23.8170931677109,-301.405336084363,156.196421319557,149.846803109162,1.697974,-9.057041,4.180542,-0.00023,-0.029972,0.022383,254,254,811,0.316227766016838,-5
2022.06.30 11:15:41:684,102.684,376.638211318884,152.488248681173,23.4854517255016,-306.374517537932,159.568352906095,150.096428937279,1.69261,-9.054688,4.183755,-4e-06,6e-06,1e-05,254,254,811,0.316227766016838,-5
2022.06.30 11:15:42:231,103.231,380.848524962784,152.44215629718,23.1873665972016,-310.365309954882,161.964407113646,149.955007156357,1.692283,-9.051189,4.18189,0,0,0,254,254,811,0.316227766016838,-5
2022.06.30 11:15:42:796,103.796,385.944764474857,152.701711427786,23.401140041269,-314.752670022828,162.444060970392,153.284196819179,2.749944,-8.071824,3.997512,0,0,0,254,254,811,0.251188643150958,-6
2022.06.30 11:15:43:358,104.358,390.961185590446,152.689752798784,23.1729918255847,-319.356253875515,164.904392234275,153.846589727327,2.740813,-8.082257,4.000366,0,0,0,254,254,811,0.251188643150958,-6
