,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
0,2022.06.30 12:44:10:529,0.0,936.216074713424,163.198252634063,4.95952922772826,-892.894101315393,269.610336364378,80.9378089243546,0.517989,2.919238,-2.49089,-0.021015,0.046218,-0.015373,0,0,2,0.0316227766016838,-15,0.0,0.0,ok
1,2022.06.30 12:44:11:078,0.549,934.167938178699,163.286872289827,4.97194266093272,-891.338989616567,267.637134890094,80.9623760655522,0.511086,2.932195,-2.49438,-0.007008,0.015413,-0.005127,254,254,2,0.0316227766016838,-15,0.0,0.549,ok
2,2022.06.30 12:44:11:625,1.096,932.556169984666,163.373203118784,4.96938701956705,-890.206128039928,265.835380960169,80.781247863546,0.508809,2.934937,-2.494473,-0.200153,0.05403,0.113019,254,254,2,0.0316227766016838,-15,0.0,0.547,ok
3,2022.06.30 12:44:12:175,1.646,930.797854392601,163.449820871116,4.98385146427893,-888.862141401963,264.139942616588,80.8630325840786,0.507859,2.93479,-2.493623,-0.002351,0.007101,0.001602,254,254,2,0.0316227766016838,-15,0.0,0.5499999999999998,ok
4,2022.06.30 12:44:12:728,2.199,941.667708019411,163.556470560163,4.76894380021109,-900.02608718104,265.635257864546,78.2880865735933,1.457253,-0.845019,-3.007676,-0.000782,0.001719,-0.000572,254,254,2,0.0630957344480193,-12,0.0,0.5529999999999999,ok
5,2022.06.30 12:44:13:274,2.745,941.75535935968,163.631776505861,4.73316251945034,-900.504989824996,264.490434555963,77.7092672167346,1.461275,-0.856995,-3.011817,0.019298,-0.05241,-0.016932,254,254,2,0.0630957344480193,-12,0.0,0.5460000000000003,ok
6,2022.06.30 12:44:13:841,3.312,942.069663296246,163.759817437534,4.68047103497074,-901.46279511384,262.584866655383,76.8717590030283,1.462357,-0.862753,-3.012982,-0.051967,0.016143,0.110751,254,254,2,0.0630957344480193,-12,0.0,0.5669999999999997,ok
7,2022.06.30 12:44:14:387,3.858,948.455220026486,163.1373692301,4.58185021353069,-904.773757271409,274.246832915345,75.7656068699434,0.356297,-4.420564,-2.474368,-0.00229,0.000618,0.001293,254,254,2,0.0398107170553497,-14,0.0,0.5460000000000003,ok
8,2022.06.30 12:44:14:936,4.407,950.397130101655,163.190532287387,4.47168014718131,-907.018896675982,274.008698702073,74.0989811923355,0.359814,-4.428397,-2.48605,-2.8e-05,8.2e-05,1.9e-05,254,254,2,0.0398107170553497,-14,0.0,0.5489999999999999,ok
9,2022.06.30 12:44:15:500,4.971,952.226320583784,163.254883068523,4.37848633411466,-909.18679981101,273.549665572322,72.697380470112,0.35998,-4.430549,-2.489176,-9e-06,2.6e-05,6e-06,254,254,2,0.0398107170553497,-14,0.0,0.5640000000000001,ok
