,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
1002,2022.07.01 15:00:24:029,0.0,253.510088541022,177.914251138215,3.56785591398062,-252.851104135388,9.20865362703262,15.7760840505362,-2.482994,7.133702,-3.198887,-0.076481,0.042948,0.064467,254,254,6,0.0398107170553497,-14,0.0,0.0,ok
1003,2022.07.01 15:00:24:575,0.546,249.610772227679,178.287160795537,3.57109732339897,-249.014784258458,7.44643661189548,15.5475211720914,-2.479486,7.130402,-3.197107,1e-06,-1e-06,0.0,254,254,6,0.0398107170553497,-14,0.0,0.546,ok
1004,2022.07.01 15:00:25:124,1.095,244.573996400617,178.818045121911,3.49880613880131,-244.06618655313,5.03555671920185,14.9257986489683,-2.475463,7.124816,-3.195236,-0.025546,0.014345,0.021533,254,254,6,0.0398107170553497,-14,0.0,0.5489999999999999,ok
1005,2022.07.01 15:00:25:672,1.643,240.495737366265,179.239116904614,3.52820587088123,-240.018741614409,3.18761593141608,14.8000834407285,-2.471185,7.119286,-3.193921,0.002664,0.010799,-0.009509,254,254,6,0.0398107170553497,-14,0.0,0.548,ok
1006,2022.07.01 15:00:26:237,2.208,236.409412164808,179.767974564553,3.48100953763037,-235.971296675689,0.955596426585544,14.3542377287522,-2.469682,7.114465,-3.19235,0.0,0.0,0.0,254,254,6,0.0398107170553497,-14,0.0,0.5650000000000002,ok
1007,2022.07.01 15:00:26:786,2.757,229.717213721288,-176.572182792536,2.3249290487878,-229.117474695478,-13.7237189783555,9.31883074436337,-1.507706,8.022558,-6.124078,0.0,0.0,0.0,254,254,6,0.0398107170553497,-14,0.0,0.5489999999999999,ok
1008,2022.07.01 15:00:27:349,3.32,225.757127506852,-175.538349416342,2.14319106967257,-224.915557217202,-17.5497724677662,8.44264343380928,-1.512214,8.011741,-6.113593,0.0,0.0,0.0,254,254,6,0.0398107170553497,-14,0.0,0.5629999999999997,ok
1009,2022.07.01 15:00:27:900,3.871,221.862486044945,-174.517624373676,1.99577047962023,-220.713639738926,-21.1837865986527,7.7265213765204,-1.512747,8.008336,-6.110725,0.0,0.0,0.0,254,254,6,0.0398107170553497,-14,0.0,0.5510000000000002,ok
1010,2022.07.01 15:00:28:447,4.418,218.825701360587,-174.204670955445,1.89720100570308,-217.587931315519,-22.0838546632549,7.24452103301883,-2.04063,7.504594,-4.924442,0.0,0.0,0.0,254,254,6,0.0125892541179417,-19,0.0,0.5470000000000002,ok
1011,2022.07.01 15:00:28:996,4.967,215.036180631055,-173.290277663594,1.75443023133154,-213.463250106788,-25.1128911606102,6.5835045222193,-2.0395,7.50141,-4.922876,-7.9e-05,-0.002545,0.002034,254,254,6,0.0125892541179417,-19,0.0,0.5489999999999995,ok
1012,2022.07.01 15:00:29:560,5.531,211.499628909481,-172.374130070107,1.57675416497762,-209.549693959848,-28.0562038857861,5.81964034121484,-2.040739,7.498334,-4.919425,0.003214,0.006556,-0.004572,254,254,6,0.0125892541179417,-19,0.0,0.5640000000000001,ok
1013,2022.07.01 15:00:30:107,6.078,207.646553900163,-171.478963451983,1.42297925009431,-205.291123959802,-30.7580258798516,5.15651179663837,-2.040801,7.494325,-4.916709,0.0,-1e-06,1e-06,254,254,6,0.0125892541179417,-19,0.0,0.5470000000000006,ok
1014,2022.07.01 15:00:30:658,6.629,204.033606916247,-170.465829558434,1.26250648256223,-201.166442751537,-33.7870623772069,4.49549528583884,-2.040464,7.490407,-4.914509,0.0,0.0,0.0,254,254,6,0.0125892541179417,-19,0.0,0.5509999999999993,ok
1015,2022.07.01 15:00:31:205,7.176,200.994705389125,-169.629537013313,1.09643094534817,-197.675136727249,-36.1748488400408,3.84606626629829,-2.035599,7.484983,-4.915514,0.0,0.0,0.0,254,254,6,0.0125892541179417,-19,0.0,0.5470000000000006,ok
1016,2022.07.01 15:00:31:789,7.76,196.817383565718,-168.415624866828,0.923256086366046,-192.783191543225,-39.5179208686241,3.17135023046285,-2.034914,7.479569,-4.912728,0.0,0.0,0.0,254,254,6,0.0125892541179417,-19,0.0,0.5839999999999996,ok
1017,2022.07.01 15:00:32:322,8.293,193.598790084305,-167.329559609364,0.712516566609662,-188.869635396285,-42.4612335938,2.40748604852706,-2.034352,7.475196,-4.910487,0.000191,0.000383,-0.000268,254,254,6,0.0125892541179417,-19,0.0,0.5329999999999995,ok
1018,2022.07.01 15:00:32:869,8.84,190.226871604266,-166.223249971799,0.574252338318143,-184.74495418802,-45.2982307326311,1.90653479006141,-2.032688,7.470166,-4.90884,0.0,0.0,0.0,254,254,6,0.0125892541179417,-19,0.0,0.5470000000000006,ok
1019,2022.07.01 15:00:33:435,9.406,187.159148129461,-165.06271488753,0.349812502726147,-180.831398040615,-48.2415434568757,1.14267060905695,-2.032059,7.465529,-4.906497,0.0,0.0,0.0,254,254,6,0.0125892541179417,-19,0.0,0.5660000000000007,ok
1020,2022.07.01 15:00:33:966,9.937,184.120831332578,-163.921495115234,0.167689428657167,-176.917841893675,-50.9928168235238,0.538871679455042,-2.031491,7.461218,-4.904303,0.0,0.0,0.0,254,254,6,0.0125892541179417,-19,0.0,0.5309999999999988,ok
1021,2022.07.01 15:00:34:515,10.486,181.041022796592,-162.638728438327,-0.0386563429006695,-172.79316068541,-54.021853320879,-0.122144831344485,-2.030552,7.456579,-4.902253,0.0,0.0,0.0,254,254,6,0.0125892541179417,-19,0.0,0.5490000000000013,ok
