,dataset_time,df_pos,df_neg,df_total,df_fus,missing_percentage
0,06_30_11_16_cember,327,2018,2345,7320,%67.96448087431693
1,06_30_11_21_7gen,439,2580,3019,8528,%64.59896810506567
2,06_30_11_30_kare,311,3705,4016,10944,%63.30409356725146
3,06_30_11_37_duz,165,1961,2126,5902,%63.97831243646222
4,06_30_12_24_zikzak,749,5013,5762,17588,%67.23902660905162
5,06_30_12_39_duz_takip_edilemeyen,45,1981,2026,7939,%74.48041315027082
6,06_30_12_46_zikzak,538,2138,2676,8059,%66.79488770318898
7,06_30_12_56_random,858,2966,3824,13353,%71.36224069497491
8,06_30_13_07_cember,461,2730,3191,10724,%70.24431182394629
9,06_30_13_17_duz_sola,420,849,1269,3067,%58.624062601891104
10,06_30_13_20_zikzak,498,2500,2998,7198,%58.349541539316476
11,06_30_13_36_keskin_zikzak,923,7353,8276,26661,%68.95840366077792
12,06_30_13_58_kalp,432,3563,3995,12838,%68.88144570805422
13,06_30_14_10_yaprak,569,3752,4321,13223,%67.3220902972094
14,07_01_11_22_just_neg,569,3710,4279,7890,%45.766793409378955
15,07_01_11_35_düz_ışınlama,261,3120,3381,6006,%43.70629370629371
16,07_01_11_46_düz_saga,302,3494,3796,9936,%61.79549114331723
17,07_01_11_56_neg,302,9697,9999,23077,%56.67114442951857
18,07_01_12_26_cemberimsi,397,2253,2650,4296,%38.3147113594041
19,07_01_12_39_random,269,3352,3621,6228,%41.859344894026975
20,07_01_12_54_S,275,1436,1711,4163,%58.899831852029784
21,07_01_13_02_düz,354,1793,2147,7415,%71.04517869184086
22,07_01_13_19_düz_sola,219,2144,2363,4885,%51.62743091095189
23,07_01_13_27_düz_sola,238,1793,2031,3657,%44.46267432321575
24,07_01_13_34_negatif,238,5573,5811,14787,%60.701967944816396
25,07_01_13_51_düz,145,2608,2753,6024,%54.29946879150066
26,07_01_14_06_kurdele,465,3461,3926,9140,%57.04595185995623
27,07_01_14_22_kalp,495,3158,3653,7409,%50.695100553381025
28,07_01_14_35_7gen,467,3036,3503,7007,%50.007135721421434
29,07_01_14_51_cemberimsi,366,2247,2613,5547,%52.89345592212007
30,07_01_15_02_düz,210,1823,2033,6472,%68.58776266996291
31,07_01_15_12_yagmur,210,3222,3432,16626,%79.35763262360159
