,Unnamed: 0,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
1951,0,2022.06.30 12:42:34:984,302.984,285.880733543164,48.6307800681665,37.8247038954403,149.242807205594,169.466175094571,175.315697549842,7.295282,0.386718,-9.72437,-0.003615,0.004585,0.00544,0,0,2260,0.0398107170553497,-14,1.0,0.0,ok
1952,1,2022.06.30 12:42:35:534,303.534,280.513769490051,47.895219869954,38.5078813544072,147.177822812232,162.857607981732,174.654123536311,7.300047,0.418706,-9.739116,1.1e-05,1e-06,2e-06,254,254,2260,0.0398107170553497,-14,1.0,0.5500000000000114,ok
1953,2,2022.06.30 12:42:36:081,304.081,275.473061930309,47.1497021770279,39.1687096036359,145.246727210185,156.576255372183,173.990437489003,7.298586,0.428988,-9.740773,-3e-06,1.9e-05,1e-05,254,254,2260,0.0398107170553497,-14,1.0,0.5470000000000255,ok
1954,3,2022.06.30 12:42:36:628,304.628,270.960546006074,46.4336615020775,39.8110736468726,143.449520399454,150.814156624452,173.48470465932,7.289196,0.418611,-9.73004,0.001439,-0.000818,-0.001038,254,254,2260,0.0398107170553497,-14,1.0,0.5469999999999686,ok
1955,4,2022.06.30 12:42:37:193,305.193,267.307676221933,49.0340354915389,41.8361743792241,130.570702803072,150.384740686597,178.295022659935,9.730582,-4.153502,-6.608552,0.0,0.0,0.0,254,254,2260,0.0630957344480193,-12,1.0,0.5649999999999977,ok
1956,5,2022.06.30 12:42:37:756,305.756,262.287273317067,49.1314086948597,42.897582966976,125.725023838478,145.301811086527,178.536315129139,9.7283,-4.15245,-6.606911,0.0,0.0,0.0,254,254,2260,0.0630957344480193,-12,1.0,0.5629999999999882,ok
1957,6,2022.06.30 12:42:38:305,306.305,257.865157995101,49.3012659480463,43.8405257956015,121.281011248762,141.008485636405,178.61120624654,9.722906,-4.146371,-6.605599,0.0,0.0,0.0,254,254,2260,0.0630957344480193,-12,1.0,0.549000000000035,ok
1958,7,2022.06.30 12:42:38:852,306.852,253.024029856372,49.416275447342,44.9799857284146,116.435332284635,135.925556035869,178.852498715743,9.716915,-4.140691,-6.603376,0.0,0.0,0.0,254,254,2260,0.0630957344480193,-12,1.0,0.5469999999999686,ok
1959,8,2022.06.30 12:42:39:418,307.418,248.287393280485,49.5406650045255,46.1632795718927,111.589653320507,130.842626435333,179.093791185878,9.711545,-4.138075,-6.599616,0.0,0.0,0.0,254,254,2260,0.0630957344480193,-12,1.0,0.5660000000000309,ok
1960,9,2022.06.30 12:42:39:984,307.984,243.537496666751,49.7508389559087,47.3878342462746,106.532849295054,125.845420607904,179.232235983945,9.705722,-4.133974,-6.596448,0.0,0.0,1e-06,254,254,2260,0.0630957344480193,-12,1.0,0.5659999999999741,ok
