,Unnamed: 0,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
0,1823,2022.06.30 13:18:25:216,0.0,1368.734228,38.20731623,1.660592381,1075.069447,846.2185429,39.66420311,-2.760619,-2.283446,-16.661343,-0.002591,-0.001551,0.008262,254,254,26,0.079432823,-11,0,0.0,ok
1,1824,2022.06.30 13:18:25:778,0.562,1444.605597,39.27269219,2.841054561,1116.9553,913.3286753,71.6025106,-7.876466,0.746257,3.470384,-0.030119,-0.017822,0.030872,254,254,26,0.050118723,-13,0,0.562,ok
2,1825,2022.06.30 13:18:26:343,1.127,1448.945932,39.31732837,2.78222561,1119.653659,916.9915201,70.3317141,-7.87505,0.745825,3.469226,0.0,0.0,0.0,254,254,26,0.050118723,-13,0,0.565,ok
3,1826,2022.06.30 13:18:26:875,1.659,1452.978079,39.35505821,2.724412506,1122.21813,920.3271503,69.06302963,-7.872799,0.745134,3.467389,-0.000867,-0.000519,0.002765,254,254,26,0.050118723,-13,0,0.532,ok
4,1827,2022.06.30 13:18:27:426,2.21,1474.62694,39.79523927,3.348908411,1131.075185,942.2171067,86.14210706,-5.819942,-1.252516,5.190347,0.0,0.0,0.0,254,254,26,0.031622777,-15,0,0.551,ok
5,1828,2022.06.30 13:18:27:981,2.765,1478.700935,39.90366613,3.314041118,1132.450142,946.9984168,85.48175304,-5.819134,-1.252405,5.189442,0.0,0.0,0.0,254,254,26,0.031622777,-15,0,0.555,ok
6,1829,2022.06.30 13:18:28:530,3.314,1481.976321,39.99806993,3.287579714,1133.423432,950.9901228,84.98780037,-5.817377,-1.252151,5.187495,0.0,0.0,0.0,254,254,26,0.031622777,-15,0,0.549,ok
7,1830,2022.06.30 13:18:29:097,3.881,1485.568554,40.09839127,3.260457808,1134.530611,955.3090433,84.49173567,-5.814827,-1.2517,5.184623,0.01268,-0.016429,-0.029725,254,254,26,0.031622777,-15,0,0.567,ok
8,1831,2022.06.30 13:18:29:644,4.428,1521.520638,40.19682125,3.873399329,1159.53118,979.769553,102.7818978,-1.864593,-8.660995,-6.717294,0.0,0.0,0.0,254,254,26,0.019952623,-17,0,0.547,ok
9,1832,2022.06.30 13:18:30:191,4.975,1518.286152,40.26394383,3.714549799,1156.132595,979.2215947,98.36325964,-1.865631,-8.659703,-6.717074,0.005199,0.002155,0.003163,254,254,26,0.019952623,-17,0,0.547,ok
