,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
953,2022.07.01 13:17:25:937,0.0,1912.79072973299,78.3294919193131,2.41000122300937,386.583257568544,1871.59084755167,80.4329539490864,-2.050755,-7.259084,-11.959314,-0.150317,0.119671,0.091958,0,0,18,0.0398107170553497,-14,0.0,0.0,ok
954,2022.07.01 13:17:26:472,0.535,1908.98714653707,78.3962229614993,2.24332686410225,383.684159231753,1868.53810982161,74.7243182817474,-2.045585,-7.267159,-11.953568,0.0,0.0,0.0,254,254,18,0.0398107170553497,-14,0.0,0.535,ok
955,2022.07.01 13:17:27:035,1.098,1904.97054783924,78.4553067727466,2.07451627854556,380.996185956288,1865.20760895991,68.9584650332108,-2.044281,-7.268029,-11.948287,-0.050167,0.03994,0.03069,254,254,18,0.0398107170553497,-14,0.0,0.5630000000000001,ok
956,2022.07.01 13:17:27:583,1.646,1901.70784086276,78.5124862715717,1.92665630284452,378.519337741683,1862.5595417606,63.935720462352,-2.045714,-7.267544,-11.945607,0.0,0.0,0.0,254,254,18,0.0398107170553497,-14,0.0,0.5479999999999998,ok
957,2022.07.01 13:17:28:131,2.194,1903.45691366486,78.7528978791337,2.08306529735726,371.006269250331,1865.66761790868,69.1874977322295,1.296947,-8.650106,-12.411489,-0.016754,0.013338,0.010249,254,254,18,0.398107170553497,-4,0.0,0.548,ok
958,2022.07.01 13:17:28:694,2.757,1898.16811970655,78.8623205137556,1.91407907929798,366.459337919414,1861.3785669679,63.4002740886062,1.296835,-8.651053,-12.414352,0.0,0.0,0.0,254,254,18,0.398107170553497,-4,0.0,0.5630000000000002,ok
959,2022.07.01 13:17:29:245,3.308,1893.44177246894,78.9664354243284,1.77416770567802,362.200767919367,1857.55105077256,58.6211840780452,1.294373,-8.650031,-12.413562,-0.005603,0.00446,0.003427,254,254,18,0.398107170553497,-4,0.0,0.5509999999999997,ok
960,2022.07.01 13:17:29:791,3.854,1904.25749978181,78.9719707763942,2.14692668520062,364.008172176465,1867.7809346679,71.3376208962873,2.230512,-6.1984,-7.985095,0.0,0.0,0.0,254,254,18,0.316227766016838,-5,0.0,0.5460000000000003,ok
961,2022.07.01 13:17:30:340,4.403,1900.60404706456,79.0666783425199,2.05488768195443,360.24908856908,1864.90534752047,68.1497079441324,2.229143,-6.197972,-7.984279,0.0,0.0,0.0,254,254,18,0.316227766016838,-5,0.0,0.5489999999999995,ok
962,2022.07.01 13:17:30:889,4.952,1897.07209970463,79.1517799330601,1.96058080517336,356.835018814337,1862.07921174516,64.902465377003,2.227092,-6.19665,-7.983037,0.017749,-0.006917,0.010012,254,254,18,0.316227766016838,-5,0.0,0.5490000000000004,ok
