,RadarSysTime_labeled,Radar_Time_labeled,RANGE_labeled,AZIMUTH_labeled,ELEVATION_labeled,X_labeled,Y_labeled,Z_labeled,VELX_labeled,VELY_labeled,VELZ_labeled,ACCX_labeled,ACCY_labeled,ACCZ_labeled,P_UAV_labeled,P_UNK_labeled,ID_labeled,RCSEst_labeled,RCSEst_DBSM_labeled,label,TS_diff,jumped/ok
0,2022.06.30 12:44:10:529,0.0,936.216074713219,163.19825263406,4.95952922772935,-892.894101315178,269.610336364378,80.9378089243546,2.919238,-2.49089,0.517989,-0.021015,0.046218,-0.015373,0,0,2,0.0316227766016838,-15,0.0,0.0,ok
1,2022.06.30 12:44:11:078,0.549,934.167938178431,163.286872289823,4.97194266087681,-891.338989616372,267.637134890094,80.9623760646209,2.932195,-2.49438,0.511086,-0.007008,0.015413,-0.005127,254,254,2,0.0316227766016838,-15,0.0,0.549,ok
2,2022.06.30 12:44:11:625,1.096,932.556169984604,163.373203118783,4.96938701956738,-890.206128039863,265.835380960169,80.781247863546,2.934937,-2.494473,0.508809,-0.00234,0.005147,-0.001712,254,254,2,0.0316227766016838,-15,0.0,0.547,ok
3,2022.06.30 12:44:12:175,1.646,930.797854392611,163.449820871117,4.98385146427888,-888.862141401973,264.139942616588,80.8630325840786,2.93479,-2.493623,0.507859,-0.000782,0.001719,-0.000572,254,254,2,0.0316227766016838,-15,0.0,0.5499999999999998,ok
4,2022.06.30 12:44:12:728,2.199,941.66770801962,163.556470560165,4.76894380026689,-900.026087181177,265.635257864546,78.2880865745246,-0.845019,-3.007676,1.457253,0.019298,-0.05241,-0.016932,254,254,2,0.0630957344480193,-12,0.0,0.5529999999999999,ok
5,2022.06.30 12:44:13:274,2.745,941.755359359734,163.631776505891,4.73316251945007,-900.504989825189,264.490434555497,77.7092672167346,-0.856995,-3.011817,1.461275,0.006461,-0.017546,-0.005669,254,254,2,0.0630957344480193,-12,0.0,0.5460000000000003,ok
6,2022.06.30 12:44:13:841,3.312,942.069663296168,163.759817437531,4.68047103502796,-901.462795113679,262.584866655383,76.8717590039596,-0.862753,-3.012982,1.462357,0.002152,-0.005845,-0.001888,254,254,2,0.0630957344480193,-12,0.0,0.5669999999999997,ok
7,2022.06.30 12:44:14:387,3.858,948.455220026543,163.137369230101,4.58185021353041,-904.773757271469,274.246832915345,75.7656068699434,-4.420564,-2.474368,0.356297,0.010987,-0.035382,-0.034335,254,254,2,0.0398107170553497,-14,0.0,0.5460000000000003,ok
8,2022.06.30 12:44:14:936,4.407,950.3971301018,163.19053228739,4.47168014718062,-907.018896676134,274.008698702073,74.0989811923355,-4.428397,-2.48605,0.359814,0.003591,-0.011556,-0.011226,254,254,2,0.0398107170553497,-14,0.0,0.5489999999999999,ok
9,2022.06.30 12:44:15:500,4.971,952.226320583964,163.254883068526,4.37848633411383,-909.186799811199,273.549665572322,72.697380470112,-4.430549,-2.489176,0.35998,0.001199,-0.003857,-0.003747,254,254,2,0.0398107170553497,-14,0.0,0.5640000000000001,ok
10,2022.06.30 12:44:16:032,5.503,953.957914941314,163.308857377499,4.27633288291087,-911.220814154483,273.22580758687,71.133602462709,-4.430193,-2.49002,0.359248,0.0004,-0.001289,-0.001252,254,254,2,0.0398107170553497,-14,0.0,0.532,ok
11,2022.06.30 12:44:16:598,6.069,950.557064555002,161.805991702884,4.97667989632195,-899.629330674186,295.67882921574,82.4610836682841,-2.294598,4.373605,-2.180466,0.00571,-0.019804,-0.011682,254,254,2,0.0398107170553497,-14,0.0,0.5659999999999998,ok
12,2022.06.30 12:44:17:144,6.615,951.891369604903,161.639649992233,4.98633354387963,-900.015512023121,298.70371738432,82.7366114053875,-2.296073,4.367558,-2.177666,0.001854,-0.006417,-0.003809,254,254,2,0.0398107170553497,-14,0.0,0.5460000000000003,ok
13,2022.06.30 12:44:17:696,7.167,953.158945994391,161.484757628955,4.98665256807367,-900.401693372987,301.536566194376,82.852073890157,-2.296867,4.364664,-2.175985,0.000619,-0.002143,-0.001272,254,254,2,0.0398107170553497,-14,0.0,0.5519999999999996,ok
14,2022.06.30 12:44:18:260,7.731,952.096184081597,161.970601698475,4.68806542393643,-902.317303949501,293.692603864183,77.8156871814281,-3.038877,0.743903,-1.005325,0.003988,0.009049,-0.007229,254,254,2,0.0398107170553497,-14,0.0,0.5640000000000001,ok
15,2022.06.30 12:44:18:791,8.262,953.35329150965,161.922231555254,4.64440560161892,-903.316276734695,294.861375503842,77.1943770907819,-3.037399,0.742652,-1.005164,0.001176,0.002674,-0.00213,254,254,2,0.0398107170553497,-14,0.0,0.5310000000000006,ok
16,2022.06.30 12:44:19:341,8.812,954.829966939628,161.873044460047,4.59361177038318,-904.52637458127,296.115870916146,76.4702193299308,-3.036127,0.741766,-1.00525,0.000364,0.000829,-0.000659,254,254,2,0.0398107170553497,-14,0.0,0.5499999999999989,ok
17,2022.06.30 12:44:19:887,9.358,956.017243935068,161.835922927501,4.54091655789986,-905.525347365998,297.092603197743,75.6888439869508,-3.034872,0.740798,-1.005032,0.000122,0.000277,-0.00022,254,254,2,0.0398107170553497,-14,0.0,0.5460000000000012,ok
