,Dataset_Name,pos,train_pos,val_pos,neg,train_neg,val_neg,pos_train_step,pos_val_step
0,data\fusion\07_01_12_26_cemberimsi.csv,397.0,316.0,78.0,404.0,315.0,89.0,158.0,39.0
1,data\fusion\06_30_11_30_kare.csv,279.0,222.0,54.0,692.0,547.0,145.0,111.0,27.0
2,data\fusion\06_30_12_46_zikzak.csv,515.0,410.0,100.0,77.0,36.0,41.0,205.0,50.0
3,data\fusion\07_01_14_06_kurdele.csv,465.0,370.0,90.0,581.0,381.0,153.0,185.0,45.0
4,data\fusion\06_30_12_56_random.csv,704.0,562.0,138.0,236.0,160.0,63.0,281.0,69.0
5,data\fusion\06_30_11_16_cember.csv,327.0,260.0,64.0,1043.0,783.0,232.0,130.0,32.0
6,data\fusion\06_30_11_21_7gen.csv,439.0,350.0,86.0,1355.0,1058.0,285.0,175.0,43.0
7,data\fusion\07_01_15_02_duz.csv,171.0,134.0,32.0,289.0,215.0,61.0,67.0,16.0
8,data\fusion\06_30_11_37_duz.csv,151.0,118.0,28.0,466.0,355.0,111.0,59.0,14.0
9,data\fusion\06_30_14_10_yaprak.csv,526.0,418.0,104.0,430.0,336.0,94.0,209.0,52.0
10,,366.0,290.0,72.0,,,,145.0,36.0
11,data\fusion\07_01_11_46_duz_saga.csv,302.0,240.0,58.0,670.0,471.0,157.0,120.0,29.0
12,data\fusion\07_01_13_19_duz_sola.csv,219.0,174.0,42.0,412.0,300.0,94.0,87.0,21.0
13,total,4861.0,3864.0,946.0,6655.0,4957.0,1525.0,0.0,0.0
pos_train_dts_ratio,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
neg_train_dts_ratio,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
